Id;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence
50023;0;5;115;1039;58157;1454021;6854599;30564710941;244518000000;37411200000000;64619300000000
50027;1;3;11;125;16824569;1329230000000000000000000000000000000;0;0;0;0;0
50030;1;3;34;105;4864;14697;166531;514290;23823871;71985903;815668804
50032;0;2;10;212;9201;1236536;391565294;316111000000;658829000000000;3543430000000000000;48701100000000000000000
50034;5;10;16;29;53;85;130;179;245;322;406
50036;1;5;20;75;274;988;3536;12597;44745;158632;561683
50038;1;-5;71;-105;6487;-1645;122441;-19985;1049887;-248661;25979005
50045;0;0;0;0;0;0;0;0;0;0;0
50050;0;1;2;3;4;5;6;7;8;9;10
50051;1;0;8;13;14;25;24;74;112;127;125
50054;1;0;1;3;0;1;0;4;0;1;10
50055;1;12;18;213;868;6811;40267;283800;1893581;0;0
50057;0;1;5;22;95;406;1715;7162;29615;121486;495275
50059;1;0;1;0;2;1;0;1;4;1;0
50063;6;657;126947;27397461;6178897165;1424640000000;332960000000000;78562500000000000;18671100000000000000;4462730000000000000000;1071640000000000000000000
50064;0;1;3;2;5;6;7;4;13;10;11
50065;6;8;18;21;35;39;57;62;84;90;116
50066;70;2735;58898;1091036;19105020;325333429;5451265872;90406374528;1488870000000;24396900000000;398282000000000
50067;1;24;30;108;112;120;144;168;180;204;220
50068;0;1;2;4;10;12;18;28;36;52;58
50071;1;1;6;8;18;24;62;94;332;556;2538
50072;1;2;3;3;3;4;4;6;4;7;5
50074;63;333;621;3339;4557;8127;13977;16827;18177;21921;27393
50075;23;41;89;191;233;383;503;569;1049;1559;1913
50076;4;8;32;36;72;32;72;72;72;144;144
50077;64;117649;2985984;24137569;113379904;387420489;1073741824;2565726409;5489031744;10779215329;19770609664
50078;0;1;6;1;6;5;6;1;6;1;0
50080;0;1;1;1;1;1;2;2;3;3;4
50084;2;5;8;11;15;18;21;24;28;31;34
50086;1;1;2;9;80;1209;27737;894103;38403519;2115673941;145255000000
50087;2;0;1;2;4;9;22;56;146;388;1048
50088;6;3;9;6;3;9;6;2;8;5;2
50089;1;16;58;176;507;1436;4043;11359;31890;89506;251193
50091;1;1;1;1;1;1;1;1;1;1;1
50092;6;10;19;22;24;28;35;38;39;43;46
50093;1;1;3;6;22;61;221;715;2677;9456;36176
50095;1;0;0;6;10;0;0;504;2656;0;0
50096;1;14;50;150;427;1195;3324;9226;25587;70942;196672
50098;1;1;4;9;6;22;43;49;130;266;287
50099;1;1;2;2;6;6;18;16;48;60;176
50100;0;0;3;4;8;4;3;2;0;5;5
50101;0;1;3;9;22;42;72;115;171;243;334
50102;1;2;5;15;48;163;573;2093;7827;29830;115754
50103;3;9;60;84;60;132;5460;12;1020;1596;660
50105;2;10;15;23;28;36;41;49;54;62;67
50106;529;3404825447;21914600000000000;141050000000000000000000;907846000000000000000000000000;5843210000000000000000000000000000000;37608900000000000000000000000000000000000000;242064000000000000000000000000000000000000000000000;0;0;0
50107;1;2;22;405;10741;368868;15516804;771464278;44218721793;2868880000000;207740000000000
50108;130;44487;21524790;11767964475;6863040000000;0;0;0;0;0;0
50109;8;62;454;3348;24734;182760;1350428;9978382;73730824;544801200;4025566630
50111;3;7;12;13;19;23;28;29;48;49;52
50112;1;1;1;1;1;1;1;1;1;1;1
50113;1;6;90;1806;41586;1037718;27297738;745387038;20927156706;600319000000;17518600000000
50115;0;0;1;2;0;-4;0;16;16;-32;-64
50116;1;3;3;213;213;1383;3091;8129;0;0;0
50117;1;1;2;8;32;184;1264;9568;79232;816128;8769536
50119;3;20;102;565;3042;16538;89610;486103;2635899;14295131;77522409
50121;1;1;1;1;3;1;4;0;1;1;5
50122;1;31;635;10835;166851;2407971;33252835;445002595;5818890851;74768679011;947871000000
50126;3;4;5;10;40;0;0;0;0;0;0
50130;23;3747;536779;838997113;127131000000000;173211000000000000;263277000000000000000;353359000000000000000000;401409000000000000000000000;491500000000000000000000000000;0
50131;1;3;6;10;15;36;66;105;153;666;0
50133;23;61;137;251;479;593;631;821;859;1049;1087
50134;0;1;2;3;5;4;6;7;8;13;12
50135;1;2;7;23;96;370;1582;6521;28643;122638;546792
50138;-1;0;15;80;231;504;935;1560;2415;3536;4959
50139;0;1;2;4;5;7;10;11;14;16;17
50142;0;0;1;1;1;1;0;0;1;1;0
50145;1;2;4;8;16;30;56;106;202;387;746
50148;1;1;1;1;1;2;1;1;1;4;1
50152;1;1;2;6;2;1;7;5;4;3;3
50153;0;1;2;9;22;41;72;115;170;243;334
50155;2;1;9;5;17;16;26;3;11;4;30
50156;3;4;5;6;7;8;9;10;11;12;14
50157;1;3;4;7;8;10;13;14;16;18;20
50161;5;6;6;5;5;3;1;0;9;7;5
50163;1;4;39;454;13706;783226;88598695;20067022861;8688860000000;0;0
50166;0;0;0;0;0;0;1;0;0;0;0
50168;4;13;16;22;28;31;40;48;51;58;67
50170;93363947;61050823;38620051;23498297;13649371;7493947;3835763;1794301;743947;259631;68947
50171;0;2;1;3;7;19;36;116;191;542;1204
50172;1;8;58;404;2764;18752;126712;854576;5758096;38780288;261124768
50173;11;211;4211;34211;534211;9534211;19534211;3019534211;63019534211;2063020000000;162063000000000
50178;2;1;3;19;983;1140455;25739200000000;687787000000000000000000000;531547000000000000000000000000000000000000000000000000;0;0
50179;1;2;3;5;6;8;10;12;14;15;17
50180;0;4;6;8;9;10;11;12;12;13;13
50183;0;0;1;4;10;20;36;64;120;240;496
50185;53;61;157;229;307;439;613;757;769;823;853
50186;9;3969;29929;1999396;299739969;2909199969;19299599929;909996000000;9500000000000;999999000000000;9969960000000000
50191;1;1;4;1;6;19;1;9;39;116;1
50196;1;2;2;5;8;3;14;27;18;5;41
50199;8589934592;116490000000000;17714700000000000;550329000000000000;7516870000000000000;62050600000000000000;364375000000000000000;1673430000000000000000;6382390000000000000000;21048500000000000000000;0
50201;1;-1;0;1;-1;1;0;-1;1;0;0
50202;1;16;183;1850;17681;164316;1504843;13673710;123714261;1116683216;10066424303
50204;1;1;1;2;1;2;1;2;2;1;2
50206;11;10;1;1;1;1;1;1;1;1;10
50207;1;3;6;10;15;21;28;36;45;54;61
50212;1;1;28;42386176;193888000000000000000000000000;0;0;0;0;0;0
50213;3;2;5;3;7;13;5;17;13;7;23
50215;0;3;4;1;1;5;2;168;46793;1;7
50216;1;5;11;25;55;121;125;275;605;625;1331
50218;4;144;1444;44944;6441444;47444544;4434494464;44424414441;4243440000000;44844300000000;444431000000000
50219;2;4;7;10;12;15;18;20;23;26;28
50220;1;2;3;4;14;70;8;60;620;7200;16
50223;1;0;1;0;1;0;1;0;1;0;2
50225;4;11;87;1793;108161;17946611;9014442178;0;0;0;0
50226;33;85;93;141;185;201;213;217;253;265;285
50227;1;1;1;1;0;1;1;2;-1;1;1
50229;1;1;1;1;1;1;1;1;1;1;10
50230;215;923;944;1715;2379;5355;38429;87584;110483;212795;291039
50234;2;2;3;5;8;10;13;15;19;25;26
50237;1;3;7;20;26;33;43;49;52;81;116
50240;4;9;64;81;196;576;784;1156;3364;3969;4489
50244;1;1;3;13;70;431;2904;20884;157881;1242470;10111281
50246;1;2;5;13;35;86;250;687;2001;5897;17847
50248;1;8;384;46080;50692096;219414528;4413540000000;668623000000000;0;0;0
50254;25;43;45;51;59;63;65;80;105;107;135
50255;1;4;11;23;38;58;86;114;148;189;234
50259;1;1;1;3;4;1;17;25;9;1;171
50260;1;12;24;168;552;2184;3864;4872;13944;28056;35448
50263;0;1;3;9;27;81;243;729;2187;6561;19683
50266;5;13;31;61;103;139;157;181;211;277;349
50270;43;43;3;43;3;79;3;5;3;3;11
50273;1;11;181;4031;114001;3917771;158531941;7380184511;388385000000;22791200000000;1475180000000000
50274;1;2;3;4;5;6;7;24;64;134;205
50278;1;12;108;1008;10000;100008;1000041;10000000;100000008;1000000000;10000000109
50281;0;1;2;2;2;4;3;3;6;6;4
50283;11;9433;9437;62983;62987;72229;72251;392269;392279;495589;495611
50284;2;1;0;3;4;5;1;4;0;9;7
50285;6;2798;1544783;1382332582;1169280000000;0;0;0;0;0;0
50287;1;2;4;12;48;144;576;720;2880;25920;129600
50288;0;1;218;22815;703760;10194250;90775566;576941778;2863870080;11769161895;41669295250
50290;0;1;1;4;2;4;2;0;5;9;4
50294;1;1;3;84;17550;25621596;268715000000;21091800000000000;12814500000000000000000;61742400000000000000000000000;2399700000000000000000000000000000000
50296;78;624;9438;12012;18174;35328;256494;325094;1844366;0;0
50297;1;18;28;6;42;58;22;13;44;2;108
50298;1;1;2;4;1;10;4;28;14;85;46
50301;1;4;5;10;13;13;20;26;28;26;35
50302;2988;4728;9724;18844;22984;30544;35148;39948;45048;50464;55788
50303;0;5;3;21;2;45;15;77;6;117;35
50305;7;11;13;19;23;29;41;43;59;73;79
50306;0;1;1;2;3;5;8;13;21;34;55
50307;1;2;3;5;13;31;137;853;6961;28697;179143
50310;1;1;13;421;25369;2449801;346065061;67243537453;17192500000000;5593310000000000;2255590000000000000
50311;0;0;0;0;1;5;16;38;76;137;229
50313;1;2;3;4;5;8;6;7;11;12;9
50315;1;0;6;2;70;90;926;2002;13110;37130;194446
50317;0;3;33;75;2385;6345;6963;11625;18555;57825;89505
50318;1;4;9;19;33;51;77;96;126;162;203
50319;3;0;5;2;9;92;39;112;69;122;191
50321;0;2;-4;38;-1800;49354;-2224652;213407470;-19515213328;2214420000000;-370705000000000
50322;1;3;3;15;3;87;-69;591;-1005;4551;-10581
50324;-1;-1;0;3;12;40;130;427;1428;4860;16794
50325;169;371293;815730721;1792160000000;3937380000000000;8650420000000000000;19005000000000000000000;41753900000000000000000000;91733300000000000000000000000;201538000000000000000000000000000;442779000000000000000000000000000000
50326;1;2;10;12;84;132;954;1728;13290;26820;217500
50330;1;2;4;8;12;16;20;24;32;36;40
50332;1;1;2;4;5;6;6;7;8;9;8
50334;11;31;71;13;41;13;17;31;13;331;761
50336;1;3;5;9;7;8;11;10;25;14;13
50339;1;1;1;3;6;15;60;210;840;3780;12600
50341;1;9;45;155;420;966;1974;3690;6435;10615;16731
50342;1;1;0;2;-4;26;-134;930;-6728;53056;-413744
50345;1;2;10;18;178;338;1450;2562;23234;43906;186602
50350;0;0;0;0;0;1;1;1;1;1;1
50351;1;1;1;0;0;-1;-1;-1;0;0;0
50353;0;1;3;4;6;7;8;11;12;13;14
50357;3;17;11;41;71;101;29;569;881;137;1151
50359;5;24;110;412;1918;8708;39178;177032;787715;3506973;15792653
50360;1;6;28;120;494;1988;7888;31008;121125;471086;1826660
50363;1;1;1;2;1;1;2;2;1;1;3
50365;0;0;0;0;0;2;1;0;1;1;1
50366;-7;7;1993;130987;536870767;9007200000000000;0;0;0;0;0
50368;1;17;41;73;89;97;113;137;193;233;241
50369;3;7;2;5;0;7;4;1;0;7;8
50370;0;1;1;1;0;1;0;0;1;0;0
50372;0;1;0;1;1;0;2;2;1;0;1
50373;1;3;7;14;23;36;54;78;107;141;183
50378;2;1;2;1;1;4;1;1;1;3;2
50380;140;19812;8913232;595746272;11875516632;123817000000;858307000000;4483840000000;19014000000000;68665400000000;218234000000000
50381;1;1;1;1;3;1;1;2;2;1;1
50383;1;2;5;15;52;205;921;4766;28685;201159;1630840
50385;4;39;424;4659;51244;563679;6200464;68205099;750256084;8252816919;90780986104
50386;8;66;2883;3264;3552;13872;21386;26896;29698;29768;31980
50387;126;1344;2930;28060;55230;538744;969378;10066228;16284862;186362560;265582226
50395;1;1;1;4;1;3;9;9;3;14;64
50397;3;0;9;1;5;4;9;3;3;5;5
50398;1;1;1;4;16;78;457;2938;20118;144113;1065328
50400;1;2;9;1;7;0;8;3;4;2;0
50401;1;56;145422675;383738000000000000000000000000000;104860000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;0;0;0;0
50403;1;33;1056;33792;1080816;34569216;1105674768;35364307968;1131110000000;36177700000000;1157120000000000
50404;1;1;2;1;2;2;3;1;2;2;3
50405;0;6;228;8658;328776;12484830;474094764;18003116202;683644000000;25960500000000;985815000000000
50409;0;0;0;0;0;0;0;1;1;1;1
50410;2;3;22;4769;7;15853;114;9;28;35;14
50411;121;184041;1521;53361;184041;1521;441;0;0;0;0
50412;8954982400;146701000000000;273858000000000;8383650000000000;0;0;0;0;0;0;0
50415;2;3;4;5;7;16;20;22;26;0;0
50416;1;9;89;721;18601;2089;103961;832913;68093153;68347169;8320810649
50417;1;1;1;1;9;41;201;1157;6733;60161;712733
50418;1;1;1;1;1;1;1;1;1;1;2
50419;0;1;-1;5;-12;49;-225;1301;-8848;69441;-616185
50421;3;7;11;16;20;24;30;33;37;42;46
50422;2;13;82;513;3202;19973;124562;776793;4844162;30208573;188382802
50425;1;2;6;156;4260;117306;160650;13937550;32742516;3306719796;7746764190
50432;6;12;18;36;48;60;66;132;138;162;186
50433;1;1;2;3;3;5;4;6;6;7;4
50435;1;2;8;4;0;2;5;4;1;6;6
50437;1;3;7;9;27;49;81;133;243;267;343
50438;1;3;5;19;7;109;331;155;2327;20947;34913
50439;1;2;1;4;1;3;1;3;2;2;1
50444;0;1;1;2;3;11;20;31;111;202;313
50445;2;3;0;9;7;4;7;8;7;1;4
50446;10;69300;9729720;4257000;967412160;1275420000000;0;0;0;0;0
50447;2;3;5;7;23;29;41;43;47;61;67
50449;0;0;16;48;120;248;440;736;1152;1720;2464
50450;1;8;56;392;2744;19208;134456;941192;6588316;46118016;322824768
50452;1;8;29;64;99;120;127;128;128;128;128
50453;14;52;78;133;248;0;0;0;0;0;0
50456;5;2;3;6;3;4;1;4;5;2;3
50458;1;1;5;24;139;945;7377;65016;638418;6910650;81747665
50460;4;14;16;20;21;24;25;31;32;52;53
50461;1;1;1;1;4;1;1;7;7;1;1
50463;0;4;20;48;88;140;204;280;368;468;580
50466;5;8;13;11;18;25;14;23;32;41;17
50472;1;3;8;25;62;9;112;0;0;0;0
50473;0;1;3;2;8;10;11;9;12;14;15
50474;1;1;1;1;1;1;1;1;1;1;2
50478;1;11;13;23;13;11;37;61;23;71;1
50482;1;33;560;6511;58310;428758;2694670;14879591;73649236;331766645;1376403810
50486;1;0;0;6;0;120;720;5040;80640;725760;10886400
50488;1;1;2;5;18;111;2292;0;0;0;0
50489;127;343;736;1285;2187;2502;2592;2737;3125;3685;3864
50490;0;1;4;10;20;27;46;61;84;101;147
50491;6;10;24;120;720;5040;40320;0;0;0;0
50493;5;7;11;13;19;23;43;59;1033;3928410000000000000000;178890000000000000000000000000000
50494;1;1;2;4;9;24;68;204;635;2048;6684
50495;1;1;3;17;149;1809;28399;550297;12732873;343231361;10576764251
50498;1;0;2;3;4;0;4;6;7;4;6
50501;1;-3;-4;99;116;-2523;-8764;1074243;1242356;-48982293;-283202524
50502;1;1;1;3;2;1;7;9;3;1;19
50503;128;4782969;268435456;3404825447;21870000000;94931877133;319278000000;897411000000;2207980000000;4902230000000;10030600000000
50506;1;1;2;3;4;5;6;6;6;6;6
50509;1;5;4;-27;272;4651;38880;263129;1646848;10018647;60366176
50510;32;240;2144;22624;0;0;0;0;0;0;0
50511;0;3;4;5;8;9;10;13;14;15;18
50513;0;1;1;1;1;3;1;3;3;3;3
50514;1;9;93;1005;11001;120849;1328853;14615925;160770801;1768465689;19453083213
50516;1;12;168;2184;28548;371112;4826640;62746152;815728368;10604468628;137858000000
50520;1;1;1;1;-24;1;1;-534;-534;1;1
50522;314;524;734;824;944;974;1154;1364;1574;1754;1784
50523;0;1;8;0;1;8;0;1;8;0;1
50525;2;5;3;6;6;9;5;0;7;9;0
50527;1;4;9;10;21;45;48;100;102;135;144
50529;1;2;3;6;11;20;36;66;121;223;415
50534;1;2;4;5;6;7;8;10;11;12;13
50536;-1;-2;-1;148;-61;-395702;-28299181;93652648;265510000000;14066900000000;-8605650000000000
50537;29;43;93;107;157;171;197;205;213;229;232
50538;3;7;31;127;89;8191;131071;524287;178481;2089;2147483647
50542;0;36;900;1225;7056;32400;41616;44100;88209;108900;298116
50543;109;163;811;2269;31381059691;22876800000000;4052560000000000000;7395100000000000000000000000000000000000000000000000000;507529000000000000000000000000000000000000000000000000000000000000000;0;0
50550;1;3;50;2022;148824;17254920;2886892560;657047000000;194965000000000;73042300000000000;33693800000000000000
50552;1;37;1332;47952;1726272;62145792;2237248512;80540946432;2899470000000;104381000000000;3757720000000000
50553;500;300;100;500;250;40;400;200;1;51;50
50554;1;36;72;120;144;180;420;720;0;0;0
50561;1;1;2;3;4;6;9;12;17;24;33
50564;1;1;1;2;2;4;5;7;11;14;22
50567;1;1;0;1;1;3;0;12;5;83;0
50569;2;1;4;17;76;354;1704;8421;42508;218318;1137400
50571;0;0;2;4;2;1;3;0;7;5;0
50573;0;0;2;4;6;8;10;12;15;17;19
50578;0;0;0;0;0;1;1;1;1;1;2
50580;1698;4928;6917;7651;8413;8736;8828;12520;17614;21973;22580
50583;1;11;41;91;62;53;64;95;47;19;11
50584;97;353;673;929;1249;1697;1889;2017;2081;2273;2593
50585;10;100;390;1521;8151;43681;206910;980100;4863870;24137569;117661437
50586;0;1;2;5;7;16;20;39;52;86;113
50588;0;244;939;38842;399158;3185054;8997888;89003533;380705305;0;120958000000
50589;0;0;1;0;9;4;0;9;1;9;0
50591;1;4;9;16;26;43;67;91;116;148;188
50592;0;1;2;1;4;5;2;1;8;9;10
50595;1;4;529;2116;2583;3249;3346;6150;10332;12474;12792
50597;3;9;1;5;10;7;0;2;4;8;6
50602;2;16;90;558;3315;16038;95900;492932;2542374;14009768;70576726
50606;0;0;1;2;1;1;4;5;2;2;7
50608;1;2;3;4;6;5;7;10;8;9;11
50612;2;2;-176158;-1468303198;-23972200000000;-659094000000000000;-17783200000000000000000;2907150000000000000000000000;1898420000000000000000000000000000;1068480000000000000000000000000000000000;726968000000000000000000000000000000000000000
50614;1;0;2;3;2;2;4;3;3;3;5
50616;1;2;7;31;147;801;5028;35757;287703;2594737;25961688
50618;1;2;4;5;7;10;11;13;14;16;19
50619;1;0;6;120;6300;514080;62785800;10676746080;2413520000000;700039000000000;253446000000000000
50620;41;61;71;89;181;373;397;433;449;863;907
50621;1;4;4;8;4;8;8;16;4;8;8
50623;1;12;18;19;79;132;161;179;199;239;318
50627;0;1;2;6;32;232;1952;18928;211584;2677504;37670912
50631;2;4;6;8;10;11;12;14;16;18;20
50633;0;1;0;1;0;1;0;1;0;2;1
50636;1;1;1;4;2;1;22;8;3;1;148
50637;0;6;20;24;40;46;48;60;66;68;80
50638;4;12;28;60;96;104;234;360;546;744;620
50640;1;1;2;11;41;121;316;757;1961;6281;22166
50641;1;13;35;85;119;185;255;313;455;481;425
50643;3;5;13;17;61;67;97;139;157;163;173
50646;0;1;3;4;5;7;8;9;10;11;12
50649;1;41;1640;65600;2624000;104960000;4198400000;167936000000;6717440000000;268698000000000;10747900000000000
50651;15;15;30;15;30;15;30;15;30;15;30
50654;2;7;10;15;17;18;19;22;36;37;49
50657;1;1;1;0;3;3;4;4;6;2;1
50659;0;2;4;6;8;10;12;14;16;10;20
50663;1;3;1;1;3;1;1;3;7;3;3
50665;1;72;30375;39337984;115330000000;642717000000000;6079640000000000000;90173700000000000000000;1977710000000000000000000000;61310700000000000000000000000000;2592140000000000000000000000000000000
50667;1;-1;1;-1;2;-3;3;-4;6;-7;8
50668;4;26;250;3086;44674;0;0;0;0;0;0
50669;0;1;1;6;16;70;264;1204;5344;26424;130960
50670;3;5;7;9;15;21;25;27;49;1323;4725
50671;1;1;1;2;3;4;5;6;9;11;13
50672;1;2;1;4;1;1;7;3;1;1;12
50673;1;1;-1;-1;-2;1;-1;2;4;-1;1
50674;1;19;532;18544;758974;35337226;1833202384;104410000000;6456770000000;429819000000000;30587600000000000
50675;2;4;10;16;30;52;92;160;280;484;840
50676;10;25;46;73;121;166;235;295;385;460;571
50678;1;2;4;19;60;237;850;3252;12168;46497;177052
50679;1;3;12;46;156;476;1349;3571;8939;21310;48701
50680;0;0;1;0;2;0;2;2;5;2;4
50681;1;2;1;6;2;1;24;10;2;1;120
50682;1;2;4;12;36;105;359;1234;4179;15184;55991
50685;1;2;2;3;3;3;4;4;4;4;4
50686;1;2;24;216;3120;54720;1239840;32618880;979614720;33479308800;0
50687;0;1260;20160;226800;2268000;20790000;192931200;1931529600;20718297600;232745000000;0
50688;1;2;2;2;2;2;2;2;2;2;2
50689;0;0;1;-1;1;-1;1;-1;1;1;-1
50690;78;1770;72771;6787770;37779778;2476777771;7477727778;7077760000000;27778900000000;177776000000000;7777760000000000
50693;2;6;4;20;24;8;70;116;72;16;252
50695;1;4;1;3;4;7;2;5;1;4;1
50696;1;2;3;4;5;6;7;8;9;10;11
50697;3;7;14;5;8;6;28;18;29;77;14
50698;19;43;47;61;73;79;83;89;109;113;137
50705;4226;9613;26921;87697;128285;131165;238369;243274;244261;308314;310538
50708;1;4;12;21;32;51;80;110;132;164;212
50709;0;0;0;1;1;1;1;1;1;1;1
50710;0;81;8811;888111;88881111;8888811111;888888000000;88888900000000;8888890000000000;888889000000000000;88888900000000000000
50711;1;1;3;6;13;26;56;115;247;533;1175
50712;1;2;7;30;146;772;4331;25398;154158;961820;6137734
50715;29;37;43;47;83;103;107;113;127;173;257
50716;3;69;96;123;132;203;213;222;230;231;302
50717;4;4;7;7;8;8;12;12;12;12;12
50718;0;96;189;453;969;1496;3020;6020;9089;17969;35453
50719;1;-7;7;42;-56;-105;-126;489;987;-651;-833
50720;2;480;10321920;64561800000000;1480210000000000000000;8898130000000000000000000000000;10827500000000000000000000000000000000000;0;0;0;0
50722;0;1;1;1;1;1;1;-1;1;1;1
50723;1;0;3;8;15;32;133;384;2241;0;0
50724;0;0;0;1;1;1;1;1;1;1;1
50725;1;2;7;25;88;311;1095;3858;13591;47881;168688
50728;8;32;80;160;280;448;672;960;1320;1760;2288
50730;7;5;0;7;6;2;4;9;0;2;2
50731;1;2;4;6;9;12;16;20;25;30;36
50734;1;2;4;6;12;16;22;28;36;52;58
50735;1;13;76;300;930;2442;5676;12012;23595;43615;76648
50738;1;15;45;91;153;231;325;435;561;703;861
50739;1;1;1;2;1;-1;6;1;-4;1;24
50740;1301;3989;4931;5387;6803;7451;7703;7753;10303;10657;10723
50741;456;1668;6220;23341;87752;330274;1244135;4688684;17678240;66670133;251457191
50747;42;343;1528;4917;12890;29325;60112;113745;201994;340659;550408
50748;2;19;79;149;569;587;1237;2129;2153;2237;2459
50749;256;11028;754704;70027468;8605131924;1498790000000;451135000000000;0;0;0;0
50751;0;6;14;30;46;78;94;142;174;222;254
50752;17;103;577;1753;2357;4973;7507;56857;62627;97387;273367
50753;1;1;1;1;1;3;1;5;15;35;7
50755;0;1;1;1;2;1;2;2;1;2;2
50756;1;2;3;5;8;11;14;15;21;24;27
50758;1;12;132;1452;15972;175692;1932612;21258732;233846052;2572306572;28295372292
50761;1;2;0;-2;24;52;0;32556;195984;261626;0
50763;7;11;13;17;19;23;29;47;59;61;73
50764;31;41;53;61;73;83;89;139;151;151;157
50765;1;29;548;8566;120423;1583943;19921666;242775872;2891343125;33848546017;391123000000
50770;9;33;65;105;153;209;273;345;425;513;609
50774;11;16;36;73;134;225;354;529;758;1049;1410
50777;9;9;6;9;5;5;8;0;2;8;8
50779;0;0;1;0;2;2;4;14;52;555;1257
50783;0;2;8;20;22;68;78;80;92;162;168
50787;1;2;12;102;1118;14936;234626;4227866;85826368;1935913962;47994717062
50788;2;5;-6;1;21;-21;-1;2;-2;1;3
50789;8;7;9;7;8;0;6;2;6;6;2
50790;1;9;34;182;836;4025;19001;90358;428481;2034035;9651787
50793;0;1;1;2;5;5;7;28;3;15;55
50795;3;2;1;7;5;0;5;5;4;3;9
50802;1;2;6;4;4;12;12;24;24;40;40
50803;1;2;3;2;2;4;3;2;2;5;2
50807;1;0;8;22;42;70;155;246;421;722;1101
50809;2;2;5;4;9;6;15;8;25;10;43
50810;3;0;8;0;0;7;0;2;8;8;2
50811;0;1;2;3;13;17;21;25;26;30;34
50813;1;3;13;39;169;507;0;0;0;0;0
50814;6;1;3;5;2;8;6;0;8;2;3
50815;1;2;3;4;5;6;7;8;9;10;55
50816;0;1;1;2;3;7;21;135;2470;319124;1214554343
50817;1;6;11;31;36;56;76;156;161;181;201
50818;1;0;1;0;1;3;0;1;7;16;0
50819;1;2;2;2;2;2;2;2;2;3;3
50820;1;2;2;3;2;3;2;4;3;2;3
50822;1;0;3;4;12;14;42;56;126;182;360
50823;89;90;16874;25077;479505;0;0;0;0;0;0
50828;1;351;19996;1686304;143511784;10344276279;0;0;0;0;0
50829;1;2;3;4;5;6;7;8;9;10;11
50831;1;2;6;10;17;28;44;66;95;132;178
50833;0;0;1;5;15;33;64;107;171;252;359
50837;3;4;5;6;7;10;12;13;19;26;28
50840;2;3;5;2;4;3;4;1;4;4;4
50842;198;1062;3974;12294;45386;142206;400914;1332870;3945242;10847070;34656506
50844;18;144;966;6042;0;0;0;0;0;0;0
50846;0;1;2;3;5;4;6;7;11;9;10
50847;1;4;9;20;41;84;169;255;0;0;0
50849;13626257;17652013;22790357;25180321;27980837;33384517;35560009;37369531;39892037;40794049;44310817
50850;0;0;2;2;4;6;8;10;14;14;19
50852;0;0;324;2268;8100;21060;45360;86184;149688;243000;374220
50856;8;18;27;28;33;34;36;37;38;44;46
50859;1;4;54;3750;504210;372027810;144949000000;209482000000000;164735000000000000;401824000000000000000;2721850000000000000000000
50860;1;3;35;899;44099;5336099;901800899;260620000000;94084000000000;49770400000000000;41856900000000000000
50863;1;1;2;3;6;11;22;43;94;173;398
50864;1;2;3;6;7;14;19;25;31;62;107
50866;1;4;6;8;9;12;14;15;16;18;24
50868;1;1;2;2;9;9;6;44;96;64;24
50870;1;7;19;78;382;1679;8329;45625;259832;1747805;14220936
50871;1;1;-7;873;-335023;314308145;-608475000000;2176840000000000;-13293700000000000000;130393000000000000000000;-1956710000000000000000000000
50875;1;518;15960915;4828310000000;6893870000000000000;32978500000000000000000000;428544000000000000000000000000000;428544000000000000000000000000000;0;0;0
50879;0;0;1;0;0;1;1;1;2;0;0
50880;6;22;33;55;77;202;262;303;393;505;626
50881;8;10;12;24;36;38;58;60;68;84;86
50882;1;2;3;4;5;6;7;8;10;17;19
50884;3;9;362;148807;432182000000;615829000000000000000000;385329000000000000000000000000000000000000000000;639196000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;0
50889;1;2;5;1;16;5;3;65;23;20;10
50890;2;19;11;79;53;47;137;331;293;971;457
50891;99;989;989;16089;25929;16089;215563;1328305;1328305;215563;2616383
50893;1;1;1;1;2;2;6;1;3;4;19
50895;1;1;2;4;13;36;124;397;1485;5181;20291
50897;1;4;11;22;41;65;88;111;145;186;231
50900;0;9;69;603;5672;53281;510523;4940488;48169672;471970959;4641157883
50901;16;20;64;108;135;164;352;432;729;1024;1107
50904;3;5;9;14;21;27;44;77;98;104;115
50906;1;0;36;216;1440;9936;74880;608040;5391360;51732000;539136000
50909;1;0;1;1;0;3;0;3;2;2;8
50912;1;3;9;14;16;22;27;29;35;40;42
50913;1;4;11;24;47;80;0;0;0;0;0
50914;1;4;9;25;49;256;361;676;729;4761;6561
50915;1;1;3;6;23;61;259;779;3436;11116;50120
50916;783;819;828;963;972;1008;1087;1231;1267;1276;1807
50917;0;1;2;4;6;9;11;13;15;17;23
50920;1;2;6;12;30;60;180;210;360;420;1260
50921;7;9;13;17;25;29;37;41;49;61;65
50926;2;60;1260;30030;835380;26860680;984233250;40560770250;1858740000000;93814000000000;5172710000000000
50928;101;137;419;1019;1049;1481;1871;1931;2081;2111;2969
50929;0;0;0;0;4;0;0;4;4;0;0
50930;42;1764;1728;5436;13806;37430;111328;286754;844200;2336928;6407688
50932;72156649;31042159;35939923;93992359;98805767;80576723;77766467;36947063;33374293;33742937;42937337
